source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,averaged,averaged_features,0.76704943,0.23295057,22.44648551940918,689.4597,670.7308
0000007_04999_d_00000365_features,individual,0000007_04999_d_000003610_features,0.8931923,0.10680777,15.917275428771973,528.6011,1054.9331
0000007_04999_d_00000365_features,individual,0000007_04999_d_000003611_features,0.88458955,0.11541039,17.584190368652344,577.4967,1158.1826
0000007_04999_d_00000365_features,individual,0000007_04999_d_00000362_features,0.9024946,0.09750527,16.64590835571289,540.61755,1216.8242
0000007_04999_d_00000365_features,individual,0000007_04999_d_00000364_features,0.845125,0.15487492,18.788904190063477,604.64294,936.7317
0000007_04999_d_00000365_features,individual,0000007_04999_d_00000365_features,1.0,0.0,0.0,0.0,1217.0363
0000007_04999_d_00000365_features,individual,0000007_05499_d_000003711_features,0.76733255,0.23266733,22.96889877319336,741.55927,856.0066
0000007_04999_d_00000365_features,individual,0000007_05499_d_000003719_features,0.85297287,0.1470272,19.29582405090332,608.28235,1075.4545
0000007_04999_d_00000365_features,individual,0000007_05499_d_000003725_features,0.86259735,0.1374026,17.67902183532715,574.8502,936.79364
0000007_04999_d_00000365_features,individual,0000007_05499_d_00000372_features,0.8224338,0.17756617,20.105220794677734,638.92163,915.65546
0000007_04999_d_00000365_features,individual,0000007_05499_d_00000373_features,0.7415166,0.25848353,23.665773391723633,747.56683,759.5979
0000007_04999_d_00000365_features,individual,0000007_05499_d_00000376_features,0.8174653,0.1825347,20.30305290222168,656.1934,896.239
0000007_04999_d_00000365_features,individual,0000007_05499_d_00000378_features,0.7493666,0.25063348,23.113422393798828,710.6468,662.8276
0000007_04999_d_00000365_features,individual,0000076_00004_d_00000014_features,0.8112385,0.18876135,20.428483963012695,634.30066,832.3043
0000007_04999_d_00000365_features,individual,0000076_00352_d_00000027_features,0.7484047,0.2515952,24.49787139892578,736.2728,891.8195
0000007_04999_d_00000365_features,individual,0000076_01012_d_000000410_features,0.7758732,0.2241267,22.18731689453125,702.6306,808.571
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000049_features,0.74147224,0.25852782,24.581119537353516,784.5669,863.18976
0000007_04999_d_00000365_features,individual,0000076_01601_d_00000068_features,0.71668243,0.2833175,25.98876953125,792.06177,853.56433
0000007_04999_d_00000365_features,individual,0000076_01792_d_000000715_features,0.79038876,0.20961118,21.486833572387695,680.1128,821.63525
0000007_04999_d_00000365_features,individual,0000076_01975_d_000000813_features,0.7325396,0.26746035,24.248207092285156,750.19824,778.32275
0000007_04999_d_00000365_features,individual,0000076_01975_d_0000008_features,0.7676072,0.23239297,23.334674835205078,753.6122,895.8869
0000007_04999_d_00000365_features,individual,0000076_03315_d_000001117_features,0.71248466,0.28751534,25.05287742614746,789.8499,750.316
0000007_04999_d_00000365_features,individual,0000076_03689_d_000001212_features,0.6947991,0.30520093,26.48619270324707,841.22095,793.1938
0000007_04999_d_00000365_features,individual,0000076_04925_d_00000172_features,0.73925793,0.260742,24.058197021484375,756.67847,798.8071
0000007_04999_d_00000365_features,individual,0000076_04999_d_00000189_features,0.75100887,0.24899119,23.658977508544922,736.18494,827.8478
0000007_04999_d_00000365_features,individual,0000076_05079_d_00000196_features,0.80280864,0.19719136,20.817235946655273,659.77637,807.8629
0000007_04999_d_00000365_features,individual,0000201_01634_d_00001792_features,0.70435226,0.29564756,24.779760360717773,770.4704,625.5864
0000007_04999_d_00000365_features,individual,0000204_00000_d_000019121_features,0.74596846,0.25403154,23.508033752441406,747.551,770.4733
0000007_04999_d_00000365_features,individual,0000204_00000_d_000019123_features,0.6540384,0.3459615,26.949129104614258,863.4348,645.218
0000007_04999_d_00000365_features,individual,0000204_00000_d_00001915_features,0.69877285,0.30122715,25.459754943847656,811.1796,717.1693
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019732_features,0.67910385,0.3208961,26.151952743530273,819.58813,687.00354
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001974_features,0.7540997,0.24590039,23.04387664794922,741.6265,756.9103
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020122_features,0.64251256,0.35748738,27.499948501586914,854.038,647.0441
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020138_features,0.79162073,0.20837921,21.489166259765625,690.7512,837.8994
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020229_features,0.75299156,0.24700844,24.510913848876953,788.608,915.7288
0000007_04999_d_00000365_features,individual,0000205_02315_d_000020249_features,0.68193626,0.31806362,26.646303176879883,847.9188,748.6345
0000007_04999_d_00000365_features,individual,0000205_02315_d_00002026_features,0.79695463,0.20304531,21.17499542236328,679.818,715.1406
0000007_04999_d_00000365_features,individual,0000205_02315_d_00002029_features,0.8176896,0.18231034,20.089017868041992,641.1089,828.3511
0000007_04999_d_00000365_features,individual,0000206_00308_d_000020424_features,0.74921167,0.25078845,23.312570571899414,745.1913,764.0594
0000007_04999_d_00000365_features,individual,0000206_00308_d_000020429_features,0.7304805,0.2695194,24.03607749938965,766.7948,730.4392
0000007_04999_d_00000365_features,individual,0000206_00308_d_000020431_features,0.7174094,0.28259057,24.802600860595703,793.7714,750.2909
0000007_04999_d_00000365_features,individual,0000221_10787_d_00000082_features,0.68883985,0.31116015,25.817995071411133,834.4103,702.391
0000007_04999_d_00000365_features,individual,0000221_10787_d_00000083_features,0.71576834,0.2842316,24.572505950927734,777.83136,703.61383
0000007_04999_d_00000365_features,individual,0000221_11139_d_00000092_features,0.7603222,0.23967767,23.140766143798828,743.70624,828.01086
0000007_04999_d_00000365_features,individual,0000222_00735_d_00000032_features,0.74530125,0.25469875,23.292917251586914,742.45496,708.4613
0000007_04999_d_00000365_features,individual,0000222_01135_d_0000004_features,0.7419077,0.25809216,23.76801872253418,757.75867,779.00195
0000007_04999_d_00000365_features,individual,0000257_01607_d_00000506_features,0.8100916,0.18990827,20.475927352905273,660.83765,825.57446
0000007_04999_d_00000365_features,individual,0000257_02072_d_000005410_features,0.70004714,0.29995292,25.29019546508789,810.8022,702.84033
0000007_04999_d_00000365_features,individual,0000258_01938_d_000007517_features,0.82969815,0.17030185,19.5235538482666,628.1127,797.4968
0000007_04999_d_00000365_features,individual,0000258_02119_d_00000762_features,0.79359674,0.20640314,21.35024642944336,678.09155,830.1079
0000007_04999_d_00000365_features,individual,0000264_00801_d_00001983_features,0.6485839,0.35141617,29.254297256469727,924.0248,789.75714
0000007_04999_d_00000365_features,individual,0000279_00601_d_000058713_features,0.7934482,0.20655161,21.688688278198242,694.9879,888.6205
0000007_04999_d_00000365_features,individual,0000279_01401_d_000059114_features,0.75984716,0.24015266,22.689910888671875,733.6107,720.9208
0000007_04999_d_00000365_features,individual,0000279_01801_d_000059310_features,0.7181625,0.2818374,24.723175048828125,785.2973,744.9267
0000007_04999_d_00000365_features,individual,0000279_05401_d_000060841_features,0.8168934,0.18310654,20.50533103942871,644.5813,924.62854
0000007_04999_d_00000365_features,individual,0000279_05801_d_000061024_features,0.64658064,0.35341936,26.93244171142578,847.5842,602.1392
0000007_04999_d_00000365_features,individual,0000290_00801_d_000085225_features,0.6674874,0.33251262,26.894054412841797,842.4142,704.3917
0000007_04999_d_00000365_features,individual,0000300_02601_d_000015120_features,0.7505559,0.24944407,23.39150619506836,748.9198,789.42816
0000007_04999_d_00000365_features,individual,0000307_06401_d_000030027_features,0.5375167,0.4624833,30.797466278076172,953.455,522.54987
0000007_04999_d_00000365_features,individual,0000307_06401_d_00003002_features,0.8042208,0.1957792,21.981767654418945,707.67126,991.9834
0000007_04999_d_00000365_features,individual,0000307_06601_d_000030130_features,0.5911287,0.4088713,28.750492095947266,885.1277,546.9739
0000007_04999_d_00000365_features,individual,0000307_06601_d_00003014_features,0.7567462,0.24325377,23.63099479675293,758.1173,860.4232
0000007_04999_d_00000365_features,individual,0000307_07201_d_00003048_features,0.79975605,0.20024389,21.49736785888672,686.3364,913.76385
0000007_04999_d_00000365_features,individual,0000339_00001_d_000016113_features,0.5162707,0.4837293,30.329069137573242,952.93854,418.3144
0000007_04999_d_00000365_features,individual,0000342_04117_d_000026313_features,0.83719504,0.1628049,19.125032424926758,629.67206,891.6086
0000007_04999_d_00000365_features,individual,0000344_00001_d_000029320_features,0.7949761,0.20502383,22.2259521484375,715.94214,957.4701
0000007_04999_d_00000365_features,individual,0000348_05097_d_00004327_features,0.81259274,0.18740708,20.873424530029297,672.959,937.4294
0000007_04999_d_00000365_features,individual,0000349_05685_d_00004698_features,0.7392644,0.2607355,23.61593246459961,756.647,727.23975
0000007_04999_d_00000365_features,individual,0000352_04117_d_000056022_features,0.7828426,0.21715736,21.71487045288086,680.5979,729.67236
0000007_04999_d_00000365_features,individual,0000352_04705_d_000056326_features,0.79505646,0.20494348,21.182249069213867,676.4048,796.45624
0000007_04999_d_00000365_features,individual,0000352_04901_d_00005646_features,0.83693814,0.16306186,19.153703689575195,615.2939,896.9636
0000007_04999_d_00000365_features,individual,0000352_05097_d_000056513_features,0.6835196,0.31648034,26.301742553710938,825.2292,725.5859
0000007_04999_d_00000365_features,individual,0000352_05293_d_000056611_features,0.71088123,0.28911883,24.64365005493164,785.8406,672.1527
0000007_04999_d_00000365_features,individual,0000352_05489_d_00005679_features,0.73860663,0.26139337,23.77886199951172,756.65015,573.42725
0000007_04999_d_00000365_features,individual,0000363_00589_d_00007865_features,0.7787014,0.22129864,22.258384704589844,722.7075,847.9309
