source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,averaged,averaged_features,0.76704943,0.23295057,22.44648551940918,689.4597,670.7308
0000007_04999_d_00000365_features,individual,0000007_04999_d_00000366_features,0.75707865,0.2429213,23.41618537902832,736.74005,839.42255
0000007_04999_d_00000365_features,individual,0000007_05499_d_000003715_features,0.718853,0.28114688,24.700050354003906,788.99255,746.42065
0000007_04999_d_00000365_features,individual,0000007_05499_d_000003730_features,0.7105474,0.2894525,24.547861099243164,754.8496,617.55884
0000007_04999_d_00000365_features,individual,0000076_00004_d_00000015_features,0.70014864,0.29985136,25.77269172668457,824.44104,758.2456
0000007_04999_d_00000365_features,individual,0000076_00004_d_0000001_features,0.687165,0.31283516,25.48527717590332,804.5371,638.74524
0000007_04999_d_00000365_features,individual,0000076_00352_d_00000022_features,0.6820481,0.31795192,25.631179809570312,791.7769,624.79285
0000007_04999_d_00000365_features,individual,0000076_00352_d_00000023_features,0.65006995,0.34993,27.2600040435791,878.5075,658.4192
0000007_04999_d_00000365_features,individual,0000076_00352_d_00000024_features,0.7180812,0.28191876,24.547300338745117,779.59265,718.1781
0000007_04999_d_00000365_features,individual,0000076_00352_d_00000026_features,0.69517684,0.3048231,26.545862197875977,845.4542,799.31036
0000007_04999_d_00000365_features,individual,0000076_00352_d_0000002_features,0.7185166,0.28148353,24.273176193237305,762.04895,645.41266
0000007_04999_d_00000365_features,individual,0000076_00616_d_00000032_features,0.7097082,0.2902919,24.588233947753906,769.3618,631.3439
0000007_04999_d_00000365_features,individual,0000076_00616_d_00000033_features,0.73220974,0.26779026,23.791942596435547,762.2368,683.89343
0000007_04999_d_00000365_features,individual,0000076_00616_d_00000035_features,0.53300995,0.46699,30.877347946166992,972.2544,514.2785
0000007_04999_d_00000365_features,individual,0000076_00616_d_00000037_features,0.71414554,0.28585446,24.82068634033203,779.63007,731.3374
0000007_04999_d_00000365_features,individual,0000076_00616_d_0000003_features,0.7169502,0.28304982,24.513442993164062,765.8171,702.4688
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000042_features,0.6886787,0.31132132,26.69631576538086,846.923,782.30426
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000044_features,0.76112723,0.23887283,22.645740509033203,727.4406,680.7086
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000046_features,0.6768473,0.32315266,25.948637008666992,822.0993,645.41705
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000047_features,0.71685225,0.28314787,24.509023666381836,782.8889,700.69354
0000007_04999_d_00000365_features,individual,0000076_01012_d_00000048_features,0.6005961,0.39940393,29.033287048339844,906.70056,607.79724
0000007_04999_d_00000365_features,individual,0000076_01012_d_0000004_features,0.7474749,0.25252515,23.283767700195312,746.3561,738.7449
0000007_04999_d_00000365_features,individual,0000076_01444_d_000000513_features,0.72367156,0.27632838,24.076778411865234,760.01337,634.02734
0000007_04999_d_00000365_features,individual,0000076_01444_d_000000516_features,0.59497225,0.40502757,28.678367614746094,892.5526,555.7625
0000007_04999_d_00000365_features,individual,0000076_01444_d_00000052_features,0.6872551,0.31274486,26.401288986206055,845.9399,752.34985
0000007_04999_d_00000365_features,individual,0000076_01444_d_00000053_features,0.70460844,0.29539144,24.894989013671875,790.2728,669.02856
0000007_04999_d_00000365_features,individual,0000076_01444_d_00000054_features,0.6446611,0.35533887,27.685970306396484,871.59863,672.97076
0000007_04999_d_00000365_features,individual,0000076_01444_d_00000056_features,0.7353386,0.2646613,23.907737731933594,751.7693,749.2224
0000007_04999_d_00000365_features,individual,0000076_01444_d_0000005_features,0.6628784,0.33712167,26.242895126342773,832.70557,593.4075
0000007_04999_d_00000365_features,individual,0000076_01601_d_000000614_features,0.7752402,0.22475976,22.05276107788086,700.68506,754.44147
0000007_04999_d_00000365_features,individual,0000076_01601_d_00000067_features,0.6509428,0.34905714,27.458606719970703,863.9442,680.4343
0000007_04999_d_00000365_features,individual,0000076_01792_d_00000074_features,0.69617534,0.3038246,25.299531936645508,804.5697,677.0077
0000007_04999_d_00000365_features,individual,0000076_01792_d_00000078_features,0.76464087,0.23535913,22.66092300415039,720.12274,787.2688
0000007_04999_d_00000365_features,individual,0000076_01792_d_0000007_features,0.75203806,0.24796194,23.14901351928711,732.4375,758.4568
0000007_04999_d_00000365_features,individual,0000076_03315_d_000001120_features,0.72987884,0.2701211,24.528295516967773,780.2581,794.4915
0000007_04999_d_00000365_features,individual,0000076_03315_d_00000112_features,0.78748244,0.21251762,22.30963897705078,704.66565,918.1787
0000007_04999_d_00000365_features,individual,0000076_03930_d_000001318_features,0.5229757,0.47702432,30.835350036621094,949.8801,481.80704
0000007_04999_d_00000365_features,individual,0000076_04382_d_00000155_features,0.7347373,0.26526266,23.863018035888672,761.41064,735.6354
0000007_04999_d_00000365_features,individual,0000076_04925_d_0000017_features,0.6942338,0.30576628,25.302797317504883,792.6801,662.2212
0000007_04999_d_00000365_features,individual,0000076_04999_d_00000184_features,0.69903487,0.3009652,24.95846176147461,778.147,613.4841
0000007_04999_d_00000365_features,individual,0000076_04999_d_00000187_features,0.6030704,0.39692956,27.829004287719727,891.3386,447.14215
0000007_04999_d_00000365_features,individual,0000076_05079_d_000001916_features,0.63563097,0.36436898,27.124364852905273,853.6544,563.26074
0000007_04999_d_00000365_features,individual,0000076_05079_d_00000192_features,0.81442976,0.1855703,20.279117584228516,652.0753,841.60175
0000007_04999_d_00000365_features,individual,0000076_05079_d_00000194_features,0.6594442,0.3405559,28.7633113861084,875.64526,801.00446
0000007_04999_d_00000365_features,individual,0000076_05079_d_00000198_features,0.5870141,0.41298586,28.68099594116211,874.48926,521.6358
0000007_04999_d_00000365_features,individual,0000076_05079_d_0000019_features,0.7010319,0.29896802,24.87887954711914,781.14636,593.8949
0000007_04999_d_00000365_features,individual,0000200_00566_d_000017015_features,0.57139236,0.42860764,29.0517520904541,906.8025,495.64706
0000007_04999_d_00000365_features,individual,0000200_00566_d_00001704_features,0.7362155,0.2637846,23.686784744262695,755.95154,708.8999
0000007_04999_d_00000365_features,individual,0000200_00566_d_00001706_features,0.74228346,0.25771654,23.564651489257812,739.7374,747.4949
0000007_04999_d_00000365_features,individual,0000200_00566_d_0000170_features,0.70993525,0.2900647,24.75086212158203,781.3502,687.5522
0000007_04999_d_00000365_features,individual,0000201_00446_d_00001732_features,0.70919776,0.29080224,24.69139289855957,773.5542,666.0499
0000007_04999_d_00000365_features,individual,0000201_00446_d_00001733_features,0.7232672,0.27673274,24.092309951782227,761.76465,642.5014
0000007_04999_d_00000365_features,individual,0000201_00446_d_00001735_features,0.7246442,0.2753557,24.40085220336914,764.9115,744.6565
0000007_04999_d_00000365_features,individual,0000201_00446_d_00001736_features,0.64921165,0.35078835,28.28577423095703,863.85754,734.85986
0000007_04999_d_00000365_features,individual,0000201_00446_d_0000173_features,0.66971344,0.33028668,26.20319175720215,815.5443,637.6387
0000007_04999_d_00000365_features,individual,0000201_00626_d_000017411_features,0.6317506,0.36824924,27.35927963256836,875.4984,577.1974
0000007_04999_d_00000365_features,individual,0000201_00626_d_000017416_features,0.72295,0.27705002,24.530155181884766,777.6231,751.0736
0000007_04999_d_00000365_features,individual,0000201_00626_d_000017418_features,0.733573,0.26642698,23.886751174926758,765.97485,729.37415
0000007_04999_d_00000365_features,individual,0000201_00626_d_000017422_features,0.6658975,0.3341025,27.41779327392578,842.9376,739.97534
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001742_features,0.7751646,0.22483546,22.07937240600586,707.61334,767.12146
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001743_features,0.76731324,0.23268664,23.59689712524414,757.053,917.46344
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001744_features,0.75014746,0.24985266,23.238954544067383,721.4785,758.2423
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001746_features,0.66673815,0.33326173,26.729270935058594,851.2787,685.22986
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001747_features,0.700498,0.2995019,25.33424949645996,800.6139,711.7793
0000007_04999_d_00000365_features,individual,0000201_00626_d_00001748_features,0.6684083,0.33159173,25.955564498901367,823.1021,529.17676
0000007_04999_d_00000365_features,individual,0000201_00626_d_0000174_features,0.75714535,0.24285465,23.361129760742188,757.94977,833.39374
0000007_04999_d_00000365_features,individual,0000201_00818_d_000017510_features,0.66404647,0.33595353,26.31069564819336,838.37756,616.50183
0000007_04999_d_00000365_features,individual,0000201_00818_d_000017516_features,0.65399915,0.3460009,26.50452423095703,837.4662,576.42126
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001752_features,0.7289721,0.27102792,24.507293701171875,784.7227,786.7301
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001753_features,0.7146549,0.28534502,24.728126525878906,783.3146,721.37695
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001754_features,0.70215535,0.2978446,25.30611228942871,795.1689,718.4911
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001755_features,0.6867255,0.31327444,25.531940460205078,794.91077,644.9651
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001757_features,0.67675495,0.32324505,25.933151245117188,824.22906,642.16736
0000007_04999_d_00000365_features,individual,0000201_00818_d_00001758_features,0.6853534,0.31464666,25.43488121032715,814.511,601.42163
