source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_05499_d_0000037_features,averaged,averaged_features,0.81316704,0.18683308,15.76636028289795,442.62115,537.2984
0000007_05499_d_0000037_features,individual,0000007_04999_d_00000366_features,0.8188969,0.18110323,18.244333267211914,516.7232,686.0878
0000007_05499_d_0000037_features,individual,0000007_05499_d_000003715_features,0.73919314,0.26080692,20.514490127563477,598.974,579.97906
0000007_05499_d_0000037_features,individual,0000007_05499_d_000003730_features,0.6859705,0.3140295,20.360984802246094,630.1508,450.50705
0000007_05499_d_0000037_features,individual,0000076_00004_d_00000015_features,0.6569585,0.3430416,24.153026580810547,752.0112,537.61145
0000007_05499_d_0000037_features,individual,0000076_00004_d_0000001_features,0.73870635,0.26129383,19.160911560058594,608.6265,518.859
0000007_05499_d_0000037_features,individual,0000076_00352_d_00000022_features,0.82763135,0.17236876,15.447912216186523,494.047,572.88684
0000007_05499_d_0000037_features,individual,0000076_00352_d_00000023_features,0.7648312,0.235169,19.160017013549805,614.19666,585.35425
0000007_05499_d_0000037_features,individual,0000076_00352_d_00000024_features,0.67752093,0.32247907,22.197799682617188,702.4963,512.02625
0000007_05499_d_0000037_features,individual,0000076_00352_d_00000026_features,0.6339288,0.36607128,26.069698333740234,797.27094,550.7715
0000007_05499_d_0000037_features,individual,0000076_00352_d_0000002_features,0.78179103,0.21820909,17.22195053100586,550.0735,530.64276
0000007_05499_d_0000037_features,individual,0000076_00616_d_00000032_features,0.8082092,0.191791,16.080577850341797,508.93616,543.27637
0000007_05499_d_0000037_features,individual,0000076_00616_d_00000033_features,0.8173071,0.182693,16.06389808654785,522.96375,576.8316
0000007_05499_d_0000037_features,individual,0000076_00616_d_00000035_features,0.6391752,0.36082488,22.974319458007812,725.01086,466.00845
0000007_05499_d_0000037_features,individual,0000076_00616_d_00000037_features,0.6443895,0.3556106,23.64999771118164,723.68506,498.64377
0000007_05499_d_0000037_features,individual,0000076_00616_d_0000003_features,0.86785036,0.13214964,14.094470977783203,454.89368,642.5306
